study,case,h,eps_rel,eta,status,censored,failure_step,failure_message,B0,B1,E2,K_modes,K_tightened,Linf_rel,delta_nom,delta_real,eps_abs,forward_residual,gate_eps_floor,gate_tightened,mass_change_rel,mass_error_rel,mass_reconstruction,max_abs_score,min_raw_density,min_reconstruction,min_regularized_denominator,negative_fraction,negative_mass_removed,tightened_max_change,tv_reconstruction,tv_reference
bandwidth_clean,VH05,0.014,1e-08,0.0,completed,False,,,1.3425987183186442e-14,7.817733433851348e-12,0.0480966883587722,182,195,0.062412551608890234,nan,nan,2.342370864051082e-09,0.016499684424113446,True,True,nan,4.73974058362837e-16,0.23423708640510832,23.88835700653739,0.045762280228416746,0.045641993270252534,0.04576228257078761,nan,nan,2.0682328490315618e-16,1.9955225876172642,2.1633101765552287
bandwidth_clean,VH05,0.02,1e-08,0.0,completed,False,,,1.060566723330483e-14,4.3152138043277475e-12,0.08712317119639779,127,136,0.1141466429437562,nan,nan,2.342370864051082e-09,0.03129999935234662,True,True,nan,4.73974058362837e-16,0.23423708640510832,21.736863372059954,0.04607874206131224,0.04599142851752688,0.046078744403683106,nan,nan,2.9087319163195654e-16,1.8652435019665126,2.1633101765552287
bandwidth_clean,VH05,0.028,1e-08,0.0,completed,False,,,5.5030917580192126e-15,1.6070722819781613e-12,0.1435854300730802,91,98,0.18920237998609624,nan,nan,2.342370864051082e-09,0.05517167564172843,True,True,nan,4.73974058362837e-16,0.23423708640510832,19.635867960523758,0.045843388391546364,0.045765349814630735,0.04584339073391723,nan,nan,2.949318993125705e-16,1.6629329827639077,2.1633101765552287
bandwidth_clean,VH05,0.04,1e-08,0.0,completed,False,,,6.604967619969407e-15,1.3397363483325275e-12,0.22182109705260608,63,68,0.28463975366822525,nan,nan,2.342370864051082e-09,0.09422784988331724,True,True,nan,4.73974058362837e-16,0.23423708640510832,16.799743413101456,0.04623701884023029,0.0461775240645155,0.04623702118260116,nan,nan,3.2054810736549157e-16,1.3703728840120974,2.1633101765552287
bandwidth_clean,VH09,0.005,1e-08,0.0,completed,False,,,3.5524322428678944e-14,5.7968640408363835e-11,0.5728825411091175,511,547,1.1398543583198977,nan,nan,2.3423708640509435e-09,0.08774747531636778,True,True,nan,7.109610875442975e-16,0.23423708640509452,302.78633471501365,0.0211225103669421,0.006281765237554915,0.021122512709312962,nan,nan,1.3716186209539855e-13,25.536580340223907,2.1633101765552287
bandwidth_clean,VH09,0.007,1e-08,0.0,completed,False,,,2.469930886578977e-14,2.879996816801153e-11,0.4637337494310163,365,391,0.8152859709153794,nan,nan,2.3423708640509435e-09,0.06817247823546328,True,True,nan,1.1849351459071627e-16,0.23423708640509439,213.1538876998691,0.012280916282422089,0.002536562451531582,0.012280918624792952,nan,nan,1.8440846070954978e-13,15.074968036527782,2.1633101765552287
bandwidth_clean,VH09,0.01,1e-08,0.0,completed,False,,,1.886754227771789e-14,1.5379931244636393e-11,0.2651490602632825,255,273,0.5518745874714855,nan,nan,2.3423708640509435e-09,0.024265549564298272,True,True,nan,1.1849351459071627e-16,0.23423708640509439,127.03038313214952,0.0280236077442457,0.011393240548592615,0.028023610086616562,nan,nan,1.375877191704403e-13,6.203367718223358,2.1633101765552287
bandwidth_clean,VH09,0.014,1e-08,0.0,completed,False,,,1.342598718318565e-14,7.817733433850885e-12,0.04902116033260002,182,195,0.0638829362064355,nan,nan,2.3423708640509435e-09,0.015362536594191003,True,True,nan,3.5548054377214876e-16,0.23423708640509444,24.428618522379715,0.04507717168599329,0.04493434730834264,0.045077174028364156,nan,nan,2.2078667291757222e-16,1.9930417627669847,2.1633101765552287
bandwidth_clean,VH09,0.02,1e-08,0.0,completed,False,,,1.0605667233304203e-14,4.315213804327493e-12,0.08884791542607977,127,136,0.11591307405756152,nan,nan,2.3423708640509435e-09,0.029242421443347325,True,True,nan,1.1849351459071627e-16,0.23423708640509439,21.38347554379645,0.0456550284208139,0.045559040350193286,0.045655030763184765,nan,nan,2.929599864422355e-16,1.861720681826062,2.1633101765552287
bandwidth_clean,VH09,0.028,1e-08,0.0,completed,False,,,5.503091758018887e-15,1.6070722819780664e-12,0.14692960683749798,91,98,0.19474170702759916,nan,nan,2.3423708640509435e-09,0.05193296359962504,True,True,nan,4.739740583628651e-16,0.23423708640509447,19.194632474281484,0.045488115920065936,0.045400398692470395,0.0454881182624368,nan,nan,2.9288447186544677e-16,1.6553132143285967,2.1633101765552287
bandwidth_clean,VH09,0.04,1e-08,0.0,completed,False,,,6.604967619969018e-15,1.3397363483324481e-12,0.2261755565559697,63,68,0.2927810092825415,nan,nan,2.3423708640509435e-09,0.08975399894549002,True,True,nan,3.5548054377214876e-16,0.23423708640509444,16.421605386817156,0.04587849347632239,0.04581014459079069,0.04587849581869326,nan,nan,3.268188479307807e-16,1.3613661114298212,2.1633101765552287
